input,output
Chloroform,"['Molecular Formula: CHCl₃', 'Molar Mass: 119.38 g/mol', 'Boiling Point: 61.2 °C', 'Melting Point: -63.5 °C', 'Water Solubility: 8.09 g/L at 20 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.489 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (7)']"
Chlorophyll,"['Molecular Formula: C₅₅H₇₂MgN₄O₅ (Chlorophyll a)', 'Molar Mass: 893.49 g/mol (Chlorophyll a)', 'Boiling Point: Decomposes before boiling', 'Melting Point: Decomposes before melting', 'Water Solubility: Insoluble', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: N/A (complex molecule)', 'Radioactivity: Non-radioactive', 'pH Value: N/A (depends on solution and form)']"
Cholesterol,"['Molecular Formula: C₂₇H₄₆O', 'Molar Mass: 386.65 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: 148-150 °C', 'Water Solubility: Insoluble', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.067 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (pure form)']"
Citric Acid,"['Molecular Formula: C₆H₈O₇', 'Molar Mass: 192.12 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: 153 °C', 'Water Solubility: 59.2 g/100 mL at 25 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Slightly corrosive', 'Density: 1.66 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 2.2 (5% solution)']"
Cocaine,"['Molecular Formula: C₁₇H₂₁NO₄', 'Molar Mass: 303.35 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: 98 °C', 'Water Solubility: 1.8 g/L at 20 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.22 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: N/A (depends on form)']"
Cytosine,"['Molecular Formula: C₄H₅N₃O', 'Molar Mass: 111.10 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: 320-325 °C', 'Water Solubility: Soluble', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.32 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 6-7 (depends on solution)']"
Thymine,"['Molecular Formula: C₅H₆N₂O₂', 'Molar Mass: 126.11 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: 316-317 °C', 'Water Solubility: Slightly soluble', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.23 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 6-7 (depends on solution)']"
Uracil,"['Molecular Formula: C₄H₄N₂O₂', 'Molar Mass: 112.09 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: 335 °C', 'Water Solubility: Soluble', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.32 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 6-7 (depends on solution)']"
DDT (Dichlorodiphenyltrichloroethane),"['Molecular Formula: C₁₄H₉Cl₅', 'Molar Mass: 354.49 g/mol', 'Boiling Point: 260 °C', 'Melting Point: 108.5 °C', 'Water Solubility: 0.025 mg/L at 25 °C', 'Biodegradability: Not readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.68 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (does not dissociate in water)']"
"DEET (N,N-Diethyl-meta-toluamide)","['Molecular Formula: C₁₂H₁₇NO', 'Molar Mass: 191.27 g/mol', 'Boiling Point: 288 °C', 'Melting Point: -45 °C', 'Water Solubility: 0.86 g/L at 25 °C', 'Biodegradability: Not readily biodegradable', 'Flammability: Flammable']"
Dichlorodifluoromethane (CFC-12),"['Molecular Formula: CCl₂F₂', 'Molar Mass: 120.91 g/mol', 'Boiling Point: -29.8 °C', 'Melting Point: -158 °C', 'Water Solubility: 0.22 g/L at 25 °C', 'Biodegradability: Non-biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.486 g/cm³ (at 25 °C)', 'Radioactivity: Non-radioactive', 'pH Value: Neutral']"
Dopamine,"['Molecular Formula: C₈H₁₁NO₂', 'Molar Mass: 153.18 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: 128-130 °C', 'Water Solubility: 60 g/L at 25 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.26 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 5-6 (depends on solution)']"
Epinephrine (Adrenaline),"['Molecular Formula: C₉H₁₃NO₃', 'Molar Mass: 183.20 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: 211-212 °C', 'Water Solubility: Soluble', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.28 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 2.5-3.5 (0.1% solution)']"
Ethane,"['Molecular Formula: C₂H₆', 'Molar Mass: 30.07 g/mol', 'Boiling Point: -88.6 °C', 'Melting Point: -182.8 °C', 'Water Solubility: 60 mg/L at 25 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Highly flammable', 'Corrosivity: Non-corrosive', 'Density: 1.356 kg/m³ (gas at STP)', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (does not dissociate in water)']"
Ethene (Ethylene),"['Molecular Formula: C₂H₄', 'Molar Mass: 28.05 g/mol', 'Boiling Point: -103.7 °C', 'Melting Point: -169.2 °C', 'Water Solubility: 131 mg/L at 25 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Highly flammable', 'Corrosivity: Non-corrosive', 'Density: 1.178 kg/m³ (gas at STP)', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (does not dissociate in water)']"
Ether,"['Molecular Formula: C₄H₁₀O (Diethyl ether)', 'Molar Mass: 74.12 g/mol', 'Boiling Point: 34.6 °C', 'Melting Point: -116.3 °C', 'Water Solubility: 6.9 g/L at 25 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Highly flammable', 'Corrosivity: Non-corrosive', 'Density: 0.7134 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (does not dissociate in water)']"
Ethyl Alcohol (Ethanol),"['Molecular Formula: C₂H₅OH', 'Molar Mass: 46.07 g/mol', 'Boiling Point: 78.37 °C', 'Melting Point: -114.1 °C', 'Water Solubility: Miscible', 'Biodegradability: Readily biodegradable', 'Flammability: Highly flammable', 'Corrosivity: Non-corrosive', 'Density: 0.789 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (7)']"
Ethylenediaminetetraacetic Acid (EDTA),"['Molecular Formula: C₁₀H₁₆N₂O₈', 'Molar Mass: 292.24 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: 250 °C', 'Water Solubility: 0.05 g/L at 25 °C', 'Biodegradability: Not readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 0.86 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 2.5 (0.1 M solution)']"
Fluoxetine (Prozac),"['Molecular Formula: C₁₇H₁₈F₃NO', 'Molar Mass: 309.33 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: 179-182 °C', 'Water Solubility: 14 mg/L at 25 °C', 'Biodegradability: Not readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.28 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (depends on form and solution)']"
Formaldehyde,"['Molecular Formula: CH₂O', 'Molar Mass: 30.03 g/mol', 'Boiling Point: -19 °C (gas)', 'Melting Point: -92 °C', 'Water Solubility: Miscible', 'Biodegradability: Readily biodegradable', 'Flammability: Highly flammable', 'Corrosivity: Corrosive', 'Density: 0.815 g/cm³ (liquid)', 'Radioactivity: Non-radioactive', 'pH Value: 2.8-4 (aqueous solution)']"
Formic Acid,"['Molecular Formula: CH₂O₂', 'Molar Mass: 46.03 g/mol', 'Boiling Point: 100.8 °C', 'Melting Point: 8.4 °C', 'Water Solubility: Miscible', 'Biodegradability: Readily biodegradable', 'Flammability: Flammable', 'Corrosivity: Corrosive', 'Density: 1.22 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 2.4 (1% solution)']"
Glucose,"['Molecular Formula: C₆H₁₂O₆', 'Molar Mass: 180.16 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: 146 °C', 'Water Solubility: 909 g/L at 25 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.54 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 6-7 (neutral in solution)']"
Glycerol (Glycerin),"['Molecular Formula: C₃H₈O₃', 'Molar Mass: 92.09 g/mol', 'Boiling Point: 290 °C', 'Melting Point: 17.8 °C', 'Water Solubility: Miscible', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.261 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 5.5-7.5 (depends on solution)']"
Guanine,"['Molecular Formula: C₅H₅N₅O', 'Molar Mass: 151.13 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: 350 °C (decomposes)', 'Water Solubility: Slightly soluble', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 2.2 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 7 (neutral in solution)']"
Hydrochloric Acid,"['Molecular Formula: HCl', 'Molar Mass: 36.46 g/mol', 'Boiling Point: -85.05 °C (gas)', 'Melting Point: -114.2 °C (gas)', 'Water Solubility: Miscible', 'Biodegradability: N/A (dissociates in water)', 'Flammability: Non-flammable', 'Corrosivity: Highly corrosive', 'Density: 1.18 g/cm³ (concentrated solution)', 'Radioactivity: Non-radioactive', 'pH Value: <1 (concentrated solution)']"
Hydrogen Peroxide,"['Molecular Formula: H₂O₂', 'Molar Mass: 34.01 g/mol', 'Boiling Point: 150.2 °C', 'Melting Point: -0.43 °C', 'Water Solubility: Miscible', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable (but strong oxidizer)', 'Corrosivity: Corrosive', 'Density: 1.45 g/cm³ (concentrated solution)', 'Radioactivity: Non-radioactive', 'pH Value: 4.5 (30% solution)']"
Hydrogen Sulfide,"['Molecular Formula: H₂S', 'Molar Mass: 34.08 g/mol', 'Boiling Point: -60.2 °C', 'Melting Point: -82 °C', 'Water Solubility: 4 g/L at 20 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Highly flammable', 'Corrosivity: Corrosive', 'Density: 1.539 kg/m³ (gas at STP)', 'Radioactivity: Non-radioactive', 'pH Value: 4-5 (weak acid)']"
Ibuprofen,"['Molecular Formula: C₁₃H₁₈O₂', 'Molar Mass: 206.29 g/mol', 'Boiling Point: 157 °C (at 4 mmHg)', 'Melting Point: 75-78 °C', 'Water Solubility: 0.021 g/L at 25 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.18 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 4-5 (in solution)']"
Indigo,"['Molecular Formula: C₁₆H₁₀N₂O₂', 'Molar Mass: 262.27 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: 390-392 °C', 'Water Solubility: Insoluble', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.4 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (7)']"
Insulin,"['Molecular Formula: C₂₅₇H₃₈₃N₆₅O₇₇S₆', 'Molar Mass: 5808', 'Boiling Point: Decomposes before boiling', 'Melting Point: Decomposes before melting', 'Water Solubility: Soluble', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: N/A (complex protein)', 'Radioactivity: Non-radioactive', 'pH Value: 2.8-3.5 (in solution)']"
Iron(III) Oxide,"['Molecular Formula: Fe₂O₃', 'Molar Mass: 159.69', 'Boiling Point: Decomposes before boiling', 'Melting Point: 1565', 'Water Solubility: Insoluble', 'Biodegradability: Non-biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Non-corrosive', 'Density: 5.24', 'Radioactivity: Non-radioactive', 'pH Value: N/A (insoluble in water)']"
Isooctane,"['Molecular Formula: C₈H₁₈', 'Molar Mass: 114.23', 'Boiling Point: 99.3', 'Melting Point: -107.38', 'Water Solubility: Insoluble', 'Biodegradability: Readily biodegradable', 'Flammability: Highly flammable', 'Corrosivity: Non-corrosive', 'Density: 0.692', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (does not dissociate in water)']"
Isoprene,"['Molecular Formula: C₅H₈', 'Molar Mass: 68.12', 'Boiling Point: 34', 'Melting Point: -145.95', 'Water Solubility: Insoluble', 'Biodegradability: Readily biodegradable', 'Flammability: Highly flammable', 'Corrosivity: Non-corrosive', 'Density: 0.681', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (does not dissociate in water)']"
Methane,"['Molecular Formula: CH₄', 'Molar Mass: 16.04', 'Boiling Point: -161.5', 'Melting Point: -182.5', 'Water Solubility: 22.7 mg/L at 25 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Highly flammable', 'Corrosivity: Non-corrosive', 'Density: 0.717', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (does not dissociate in water)']"
Methyl Alcohol (Methanol),"['Molecular Formula: CH₃OH', 'Molar Mass: 32.04', 'Boiling Point: 64.7', 'Melting Point: -97.6', 'Water Solubility: Miscible', 'Biodegradability: Readily biodegradable', 'Flammability: Highly flammable', 'Corrosivity: Non-corrosive', 'Density: 0.791', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (7)']"
Methylphenidate (Ritalin),"['Molecular Formula: C₁₄H₁₉NO₂', 'Molar Mass: 233.31', 'Boiling Point: Decomposes before boiling', 'Melting Point: 224-226', 'Water Solubility: 7.6 mg/mL at 25 °C', 'Biodegradability: Not readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.13', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (7)']"
Monosodium Glutamate (MSG),"['Molecular Formula: C₅H₈NNaO₄', 'Molar Mass: 169.11', 'Boiling Point: Decomposes before boiling', 'Melting Point: 232', 'Water Solubility: 740 g/L at 25 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Non-corrosive', 'Density: 1.62', 'Radioactivity: Non-radioactive', 'pH Value: 6.7-7.2 (neutral in solution)']"
Naphthalene,"['Molecular Formula: C₁₀H₈', 'Molar Mass: 128.17', 'Boiling Point: 218', 'Melting Point: 80.26', 'Water Solubility: 31.7 mg/L at 25 °C', 'Biodegradability: Not readily biodegradable', 'Flammability: Flammable', 'Corrosivity: Non-corrosive', 'Density: 1.14', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (7)']"
Nitric Acid,"['Molecular Formula: HNO₃', 'Molar Mass: 63.01', 'Boiling Point: 83', 'Melting Point: -42', 'Water Solubility: Miscible', 'Biodegradability: N/A (dissociates in water)', 'Flammability: Non-flammable', 'Corrosivity: Highly corrosive', 'Density: 1.51', 'Radioactivity: Non-radioactive', 'pH Value: <1 (concentrated solution)']"
Nitric Oxide,"['Molecular Formula: NO', 'Molar Mass: 30.01', 'Boiling Point: -152', 'Melting Point: -164', 'Water Solubility: Slightly soluble', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Non-corrosive', 'Density: 1.3402', 'Radioactivity: Non-radioactive', 'pH Value: N/A (gas)']"
Nitrogen Dioxide,"['Molecular Formula: NO₂', 'Molar Mass: 46.01', 'Boiling Point: 21', 'Melting Point: -11.2', 'Water Solubility: 0.01 g/mL at 20 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Corrosive', 'Density: 1.88', 'Radioactivity: Non-radioactive', 'pH Value: 3.4-3.6 (in water)']"
Nitrous Oxide,"['Molecular Formula: N₂O', 'Molar Mass: 44.01', 'Boiling Point: -88.48', 'Melting Point: -90.81', 'Water Solubility: 0.122 g/100 mL at 20 °C', 'Biodegradability: N/A (gas in atmosphere)', 'Flammability: Non-flammable', 'Corrosivity: Non-corrosive', 'Density: 1.977', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (7)']"
Nitroglycerin,"['Molecular Formula: C₃H₅N₃O₉', 'Molar Mass: 227.09', 'Boiling Point: Decomposes before boiling', 'Melting Point: 13.5', 'Water Solubility: 1.35 g/100 mL at 20 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Highly flammable', 'Corrosivity: Non-corrosive', 'Density: 1.6', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (7)']"
Norethindrone,"['Molecular Formula: C₂₀H₂₆O₂', 'Molar Mass: 298.42', 'Boiling Point: Decomposes before boiling', 'Melting Point: 203-204', 'Water Solubility: Practically insoluble', 'Biodegradability: Not readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Non-corrosive', 'Density: 1.13', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (7)']"
Penicillin,"['Molecular Formula: C₁₆H₁₈N₂O₄S', 'Molar Mass: 334.39', 'Boiling Point: Decomposes before boiling', 'Melting Point: 214', 'Water Solubility: Soluble', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Non-corrosive', 'Density: 1.28', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (7)']"
Phenol,"['Molecular Formula: C₆H₆O', 'Molar Mass: 94.11', 'Boiling Point: 181.7', 'Melting Point: 40.5', 'Water Solubility: 8.3 g/100 mL at 20 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Flammable', 'Corrosivity: Corrosive', 'Density: 1.07', 'Radioactivity: Non-radioactive', 'pH Value: 5.4 (0.1M solution)']"
Phosphoric Acid,"['Molecular Formula: H₃PO₄', 'Molar Mass: 98', 'Boiling Point: 158', 'Melting Point: 42.35', 'Water Solubility: Miscible', 'Biodegradability: N/A (dissociates in water)', 'Flammability: Non-flammable', 'Corrosivity: Highly corrosive', 'Density: 1.88', 'Radioactivity: Non-radioactive', 'pH Value: <1 (concentrated solution)']"
Piperine,"['Molecular Formula: C₁₇H₁₉NO₃', 'Molar Mass: 285.34', 'Boiling Point: Decomposes before boiling', 'Melting Point: 128-130', 'Water Solubility: Insoluble', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Non-corrosive', 'Density: 1.193', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (7)']"
Potassium Carbonate,"['Molecular Formula: K₂CO₃', 'Molar Mass: 138.21', 'Boiling Point: Decomposes before boiling', 'Melting Point: 891', 'Water Solubility: 1100 g/L at 20 °C', 'Biodegradability: N/A (inorganic salt)', 'Flammability: Non-flammable', 'Corrosivity: Corrosive', 'Density: 2.43', 'Radioactivity: Non-radioactive', 'pH Value: 11.5 (5% solution)']"
Potassium Nitrate,"['Molecular Formula: KNO₃', 'Molar Mass: 101.1', 'Boiling Point: Decomposes before boiling', 'Melting Point: 334', 'Water Solubility: 316 g/L at 20 °C', 'Biodegradability: N/A (inorganic salt)', 'Flammability: Non-flammable', 'Corrosivity: Non-corrosive', 'Density: 2.11', 'Radioactivity: Non-radioactive', 'pH Value: 7 (neutral)']"
Nicotine,"['Molecular Formula: C₁₀H₁₄N₂', 'Molar Mass: 162.23', 'Boiling Point: 247', 'Melting Point: -79', 'Water Solubility: 1 g/100 mL at 25 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Flammable', 'Corrosivity: Non-corrosive', 'Density: 1.01', 'Radioactivity: Non-radioactive', 'pH Value: 10.2 (in solution)']"
Propane,"['name: Propane', 'molecularFormula: C₃H₈', 'molarMass: 44.1', 'boilingPoint: -42.1', 'meltingPoint: -188', 'waterSolubility: 0.01', 'biodegradability: Readily biodegradable', 'flammability: Highly flammable', 'corrosivity: Non-corrosive', 'density: 2.0098', 'radioactivity: Non-radioactive', 'pHValue: 7']"
Propylene,"['name: Propylene', 'molecularFormula: C₃H₆', 'molarMass: 42.08', 'boilingPoint: -47.6', 'meltingPoint: -185.2', 'waterSolubility: Insoluble', 'biodegradability: Readily biodegradable', 'flammability: Highly flammable', 'corrosivity: Non-corrosive', 'density: 0.493', 'radioactivity: Non-radioactive', 'pHValue: 7']"
Quinine,"['name: Quinine', 'molecularFormula: C₂₀H₂₄N₂O₂', 'molarMass: 324.42', 'boilingPoint: Decomposes before boiling', 'meltingPoint: 177-179', 'waterSolubility: Slightly soluble', 'biodegradability: Readily biodegradable', 'flammability: Non-flammable', 'corrosivity: Non-corrosive', 'density: 1.18', 'radioactivity: Non-radioactive', 'pHValue: Basic (alkaline)']"
Saccharin,"['name: Saccharin', 'molecularFormula: C₇H₅NO₃S', 'molarMass: 183.18', 'boilingPoint: Decomposes before boiling', 'meltingPoint: 228-229', 'waterSolubility: 1.2', 'biodegradability: Readily biodegradable', 'flammability: Non-flammable', 'corrosivity: Non-corrosive', 'density: ~1.8', 'radioactivity: Non-radioactive', 'pHValue: 7']"
Silicon Dioxide (Silica),"['name: Silicon Dioxide (Silica)', 'molecularFormula: SiO₂', 'molarMass: 60.08', 'boilingPoint: 2,950', 'meltingPoint: 1,713', 'waterSolubility: Insoluble', 'biodegradability: Non-biodegradable', 'flammability: Non-flammable', 'corrosivity: Non-corrosive', 'density: 2.65', 'radioactivity: Non-radioactive', 'pHValue: ~7']"
Sodium Bicarbonate,"['name: Sodium Bicarbonate', 'molecularFormula: NaHCO₃', 'molarMass: 84.01', 'boilingPoint: Decomposes before boiling', 'meltingPoint: 50', 'waterSolubility: 9', 'biodegradability: Readily biodegradable', 'flammability: Non-flammable', 'corrosivity: Non-corrosive', 'density: 2.2', 'radioactivity: Non-radioactive', 'pHValue: ~8.3']"
Sodium Carbonate,"['name: Sodium Carbonate', 'molecularFormula: Na₂CO₃', 'molarMass: 105.99', 'boilingPoint: Decomposes before boiling', 'meltingPoint: 851', 'waterSolubility: 22', 'biodegradability: Readily biodegradable', 'flammability: Non-flammable', 'corrosivity: Non-corrosive', 'density: 2.54', 'radioactivity: Non-radioactive', 'pHValue: ~11.6']"
Sodium Chloride,"['name: Sodium Chloride', 'molecularFormula: NaCl', 'molarMass: 58.44', 'boilingPoint: 1,413', 'meltingPoint: 801', 'waterSolubility: 360', 'biodegradability: N/A (inorganic salt)', 'flammability: Non-flammable', 'corrosivity: Non-corrosive', 'density: 2.165', 'radioactivity: Non-radioactive', 'pHValue: 7']"
Sodium Hydroxide,"['name: Sodium Hydroxide', 'molecularFormula: NaOH', 'molarMass: 40.0', 'boilingPoint: 1,388', 'meltingPoint: 318', 'waterSolubility: Miscible', 'biodegradability: N/A (dissociates in water)', 'flammability: Non-flammable', 'corrosivity: Highly corrosive', 'density: 2.13', 'radioactivity: Non-radioactive', 'pHValue: 14']"
Sodium Hypochlorite,"['name: Sodium Hypochlorite', 'molecularFormula: NaClO', 'molarMass: 74.44', 'boilingPoint: Decomposes before boiling', 'meltingPoint: -18', 'waterSolubility: Miscible', 'biodegradability: Readily biodegradable', 'flammability: Non-flammable', 'corrosivity: Corrosive', 'density: 1.11', 'radioactivity: Non-radioactive', 'pHValue: 11-13']"
Strychnine,"['name: Strychnine', 'molecularFormula: C₂₁H₂₂N₂O₂', 'molarMass: 334.42', 'boilingPoint: Decomposes before boiling', 'meltingPoint: 274', 'waterSolubility: Slightly soluble', 'biodegradability: Not readily biodegradable', 'flammability: Non-flammable', 'corrosivity: Not corrosive', 'density: 1.3', 'radioactivity: Non-radioactive', 'pHValue: 7']"
Styrene,"['name: Styrene', 'molecularFormula: C₈H₈', 'molarMass: 104.15', 'boilingPoint: 145', 'meltingPoint: -30', 'waterSolubility: 0.03', 'biodegradability: Readily biodegradable', 'flammability: Flammable', 'corrosivity: Non-corrosive', 'density: 0.909', 'radioactivity: Non-radioactive', 'pHValue: 7']"
Sucrose,"['name: Sucrose', 'molecularFormula: C₁₂H₂₂O₁₁', 'molarMass: 342.3', 'boilingPoint: Decomposes before boiling', 'meltingPoint: 186', 'waterSolubility: 2000', 'biodegradability: Readily biodegradable', 'flammability: Non-flammable', 'corrosivity: Non-corrosive', 'density: 1.587', 'radioactivity: Non-radioactive', 'pHValue: 7']"
Sulfuric Acid,"['name: Sulfuric Acid', 'molecularFormula: H₂SO₄', 'molarMass: 98.08', 'boilingPoint: 337', 'meltingPoint: 10', 'waterSolubility: Miscible', 'biodegradability: N/A (dissociates in water)', 'flammability: Non-flammable', 'corrosivity: Highly corrosive', 'density: 1.84', 'radioactivity: Non-radioactive', 'pHValue: <1']"
Tetrafluoroethylene,"['name: Tetrafluoroethylene', 'molecularFormula: C₂F₄', 'molarMass: 100.02', 'boilingPoint: -76.3', 'meltingPoint: -142', 'waterSolubility: Insoluble', 'biodegradability: Not readily biodegradable', 'flammability: Non-flammable', 'corrosivity: Non-corrosive', 'density: 1.447', 'radioactivity: Non-radioactive', 'pHValue: Neutral (gas)']"
Tetrahydrocannabinol (THC),"['name: Tetrahydrocannabinol (THC)', 'molecularFormula: C₂₁H₃₀O₂', 'molarMass: 314.46', 'boilingPoint: Decomposes before boiling', 'meltingPoint: 157', 'waterSolubility: Insoluble', 'biodegradability: Not readily biodegradable', 'flammability: Non-flammable', 'corrosivity: Non-corrosive', 'density: ~1.0', 'radioactivity: Non-radioactive', 'pHValue: 7']"
Thymine,"['name: Thymine', 'molecularFormula: C₅H₆N₂O₂', 'molarMass: 126.11', 'boilingPoint: Decomposes before boiling', 'meltingPoint: 316-317', 'waterSolubility: Slightly soluble', 'biodegradability: Readily biodegradable', 'flammability: Non-flammable', 'corrosivity: Non-corrosive', 'density: ~1.5', 'radioactivity: Non-radioactive', 'pHValue: 7']"
Trinitrotoluene (TNT),"['name: Trinitrotoluene (TNT)', 'molecularFormula: C₇H₅N₃O₆', 'molarMass: 227.13', 'boilingPoint: Decomposes before boiling', 'meltingPoint: 81', 'waterSolubility: Insoluble', 'biodegradability: Not readily biodegradable', 'flammability: Explosive', 'corrosivity: Non-corrosive', 'density: 1.654', 'radioactivity: Non-radioactive', 'pHValue: 7']"
Toluene,"['name: Toluene', 'molecularFormula: C₇H₈', 'molarMass: 92.14', 'boilingPoint: 110.6', 'meltingPoint: -93', 'waterSolubility: 0.52', 'biodegradability: Readily biodegradable', 'flammability: Flammable', 'corrosivity: Non-corrosive', 'density: 0.866', 'radioactivity: Non-radioactive', 'pHValue: 7']"
Triuranium Octaoxide,"['name: Triuranium Octaoxide', 'molecularFormula: U₃O₈', 'molarMass: 842.02', 'boilingPoint: N/A (decomposes)', 'meltingPoint: 2075', 'waterSolubility: Insoluble', 'biodegradability: Not biodegradable', 'flammability: Non-flammable', 'corrosivity: Corrosive to some metals', 'density: 8.32', 'radioactivity: Naturally radioactive', 'pHValue: N/A (solid)']"
Uracil,"['name: Uracil', 'molecularFormula: C₄H₄N₂O₂', 'molarMass: 112.09', 'boilingPoint: Decomposes before boiling', 'meltingPoint: 335-338', 'waterSolubility: Slightly soluble', 'biodegradability: Readily biodegradable', 'flammability: Non-flammable', 'corrosivity: Non-corrosive', 'density: ~1.5', 'radioactivity: Non-radioactive', 'pHValue: 7']"
